text; label; domain
uchul bgt antingnyaa🥰🥰 murce tapi bagus, ga salah ngirim barang (sesuai sm pesanan), kecil2 imut, dapet lebihan pantat antingnya wkwk, pokonya bagus! thankyou; 1; acc; -
Lucu banget realpict banget. Next order lagi, nyesel jepitnya cmn beli 1 huhuuu lucu banget pengen lagi:)) anting nya juga semoga gak item; 1; acc; -
Baguss bangettt walaupun nyampe nya lama but ini worth it banget untuk di beli dengan harga segini udah dapet 6 pcs anting yang super duper cute dan cocok di pake untui keliar sehari hari. Thx yaa; 1; acc; -
Agak lama , cuman bisa dimaklumin. Bagus antingnya, temen2 pada minta. Semoga bisa order lagi. Lucu....; 1; acc; -
bagus kok, biarpun ada beberapa yg ga lurus, dapat cadangan dua penyangganya juga; 1; acc; -
Setelah di cek barangnya rekondisi, ga sesuai ekspektasi. Masa wifi nya ga bisa. Padahal udh pake hotspot terbaik. Masih ga bisa nyambung. Barang jelek nih.; 0; tech; -
Barang sesuai uraian penjual juga bertanggung jawab ... ada kabel yang kurang diganti Semoga barangnya awet ... semoga garansinya tidak terpakai alias barang aman; 1; tech; -
baru buka dos,,,dan di operasikan  beberapa saat ,,belum setanga hari hp eror gk bisa di nyalain; 0; tech; -
Saya gak nyangka sih bkal tertipu dsni.. Mulai curiga pas dipake 2 hari kok udah lemot aja..  Terus nama model di hp kok bukan Redmi 9 tapi model gak jelas.. Saya pikir karena RAM nya emang kecil..  Terus saya cobalah ke tokopedia untuk tukar tambah.. Pas di cek IMEI ternyta model tidak ditemukan; 0; tech; -
Kurang baik, harusnya ditingkatkan lagi lah. Barang diterima dalam kondisi tidak bagus. Saya lagi sakit gak bisa retur barang. Saya cuma sebatang kara. Gak ada yg bisa minta tolongin. Kecewa berat sama xiaomi. Berdosa kalian menyakit anak yatim piatu sperti saya; 0; tech; -
Pengiriman'y sangat" jelek dan gk rekomen dh pdhl pke shopee express sameday dan msh area tangerang masa 3hari gk kekirim" smpe" harus nyamperin ke gudang shopee'y. Sangat kecewa lebih baik ke lapak sebelah gk bertele".buat kawan" yg brg'y gk kekirim" area tangerang dtg ja ke duta indah iconic; 0; tech; -
pengiriman jnt yg sangat buruk transit sampe 4 hari !!!!  tolong lebih di kordinasi kan lagi ke depannya ,toko official resmi ngirim paket kok lama. !!!!; 0; tech; -
Sekelas shopee mall juga official resmi pengemasannya buruk,toko lain 2 hari barang sampai ini 2 hari masih di kemas..; 0; tech; -
awalnya sangat senang tdk ada kendala tp baru 3 hari pemakaian yg warna grey udah layar hitam (awalnya ada suara tdk ada gambar) setelah itu suara pun jg hilang dan benar2 gak bisa nyala... KECEWAAAAAA SANGAT, padahal udah lama nungguin buat hp baru; 0; tech; -
Xiaomi x ShopeXpress = 👎 Kenapa cuma dikasih pilihan kurir itu sih. Gak ada opsi lain padahal sering beli ya bisa selain itu. Xiaomi Redmi 9nya oke, tapi ketika dikombinasikan sama kurir yang gak oke. Kepuasan pelanggan jadi turun...; 0; tech; -
Hp baru sampai tadi siang sekrang malah mati tiba-tiba padahal batrai masih 87% ini kenapa saya chat tidak ada balasan dari pihak xiaomi official store. Tolong mohon bantuannya saya harus bagaimana. Saya sangat kecewa.....; 0; tech; -
Hp nya jauh beda sama yang asli.. Di harapkan yang mau belik mending mikir² aja dulu dari pada rugi ntar; 0; tech; -
Barang mulus....tapi sayang sekali pas di coba Speaker bermasalah ...ada suara kresek kresek; 0; tech; -
Barang kondisi cacat akun mi ke lock pas terhubung wifi refurbished produk yg cacat,  udh 2 minggu returan sya ga di proses,,  anggap amal aja klo ga secepatnya di proses, kecewa sm penjual produk HP ni; 0; tech; -
Batre Boros LCD Ghost Touch Emmc rekondisi (Hape Mati dan diservis) Ketauan kalo emmc bukan ori punya; 0; tech; -
Ini kaya nya penipuan masa hp baru akun mi nya ke kunci kan aneh; 0; tech; -
Bli 6unit..2 unit rusak..1 kena ic sinyal.yg 1 ic lampu.. Sekli buka dlm ya..rata2 bekas kena air.. Jgn2 ini returan orng di jual kmbli ya bos...; 0; tech; -
Hp pemakaian hampir dua Minggu, semalam dikasi hidup kagak mau, entahlah hp apa yang dijual; 0; tech; -
Barang sudah sampe, stelah seminggu d pake hp nya ga bisa d charger samsek, stelah d periksa sama tukang servis  katanya daleman hp nya itu semuanya seken cuman kesing nya doang yg baru.. kecewa banget jadinya😠😠; 0; tech; -
di tanya baru apa gres jwb nya "baru", taunya baru rekonduksi bisa ya mainin kata,   segel garansi bisa2 nya di tempel di tengah2 case biar gak ketauan kali bukan ori nya, batre longgar, konduktor karatan, udah bukan ori semua isi nya, di ganjel segala lagi, pemakaian sehari doang langsung matot !!!; 0; tech; -
Sekali cek brg pemesan pertm bgus eh pemesanan ke dua abal2,chat mau retur lm bls.. giliran beli cpt d bls..  hp tidk bisa d pakai krna akun tdak bisa masuk ke xiomi nya,, app nu terkunci.. jgn2 hp curian atau gmna ,,; 0; tech; -
baut di dlm gak ada 2. layar di sentuh loncat2.segel gak ada. tolong lah perbaiki..... sebelum di kirim pastikan good lah barang nya.jangan asal.; 0; tech; -
Hp sinyal ilang2an trus Barang proses retur tapi katanya masih blm nerima.  Padahal di resi udh dikirim dan sampai hari kamis kmaren. Pdhl butuh hp buat keponakan sekolah.; 0; tech; -
Hati2 beli barang sini tidak tanggung jawab beli 5 rusak 3 auto bangkrut; 0; tech; -
Kasih bintang bai1 dulu barang cacat slot micro sd tidak berfungsi Tp respon penjual sangat baik dan mau diganti dg barang baru. Lg masih dalam proses return. Semoga cepat sampai kembali barangnya. Nanti kalo sudah sampai yg baru tanpa minus diubah jd bintang 5. Karna respon penjual sangat baik; 0; tech; -
Sejauh ini hp bagus. Sinyal bagus, wifi bagus,  Bluetooth  bagus, kamera bagus. Pengisian lumayan cepat namun ada 1 yang masih kurang. Baterai cepat habis dan terkadang suka panas hp nya. Bang.....  saya cek ternyata mikrophone nya ga fungsi. Gmna nih bang?  Makasih; 0; tech; -
Barang ga sesuai pesenan , minta retur malah nunggu kputusan shope dan shopenya lebih memihak ke tokonya bukan pembelinya , bukti udah ada tp tetep pembeli yg salah , harganya g seberapa tp kecewa aja ga sesuai pesanan f*ck; 0; acc; -
Kurang pas kak buat redmi 8a pro flashlight ketutup tapi masih bisa sih karna belakang bening. Keren desainnya mantap sampainya juga cepat sekali; 1; acc; -
Harganya murmer tapi gak murahan, baguuuus suamikuuu sukak cuman sayang yang satunya aku salah pilih variasi sayaang banget padahal bagus; 1; acc; -
Barangnya sudah sampai, bahannya juga bagus, pengirimannya juga cepat. Sayang banget buat case warna hijau tua nya ada timbulan warna putih, udah di bersihin tp tetep masih ada. Tapi gpp deh, makasih yaaa..; 1; acc; -
Bener tebel dan gak letoy guys, gak nyesel beli deh. Next mau beli lagi buat variasi lain nyaa. Semoga ceept restock buat yang varian beningg, pengen banget tapi udah abis 😭; 1; acc; -
Diluar ekspektasi banget, kirain bakalan dapet yang jelek karena udah lihat² di toko lain, ehh ternyata disini bagus banget, presisi banget lagi,walaupun tadinya pesen yang matte hitam tapi, karena habis pilih yang matte hijau muda. Recommended banget lah, goodjob seller🤙🏻; 1; acc; -
Bagus case nya pengiriman cepat hanya saja di pemberitahuan shoope nya tdk ada keterangan kalo casenya sudah di kirim tapi tak apalah , yg pnting bgus casenya tebal terima kasih; 1; acc; -
Ini gimana kata mau di retur hp nya .. masa saya beli hp rusak .. ko ga ada niat baik nya anda kan mencari rejeki ko kaya gini cara nya .. nyesel saya beli hp disini; 0; tech; -
Setelah hampir 1 bulan layar handphone mati. Padahal pemakaian normal. Coba tanya ke seller ga ada jawaban.; 0; tech; -
Pesan hitam yang nyampe putih . Suara sebelah macettt .  Tolong di perbaiki lgi ya supaya costumernya ga kecewa . Ada suara bunyi bunyii gitu di handsetnya .  Ga recomended dh . Nyesal; 0; tech; -
Cuman tahan sehari dan delay nya kerasa banget. Dan harganya mahal ditoko lain cuman 60K; 0; tech; -
Barang tidak awet, suka disconect sendiri dan muncul bahasa asing terus, battery pun tidak jelas, di status 100% tapi suka mati sendiri.; 0; tech; -
Suka hidup dan mati sendiri padahal ga mencet sama sekali; 0; tech; -
KUALITAS PRODUK SANGAT SANGAT JELEK. KEDUA-DUANYA ADA SUARA KRESEK-KRESEK. CUKUP SEKALI SAJA BELI PRODUK DISINI. RESPON PENJUAL JUGA SANGAT LAMA. TIDAK REKOMENDED.; 0; tech; -
Barang sudah sampai Tapi barangnya atau apa yah kurang bagus... Kalo di aktifin keduanya, kadang sebelah aja yang Kedengaran dan sebelahnya mati hidup. Kadang musik mati sendiri gak jelas Pelayanan juga kurang bagus; 0; tech; -
Asli Nyesal aku beli handset ini. Udah sebelah kiri kurang responsif, batreinya sowak. Suaranya macam taik. Ngecas sampai full pas makek sebentar udah tinggal 20% langsung habis pula. Buang2 uang ja aku beli hendset ini. Macam taik. Buat yg lain Rugi klo dibeli.; 0; tech; -
Produkk seken sudah rusak masih dijual kl barang seken di kasih keterangan dong,; 0; tech; -
Suara kanan kiri ga sama besarnya, suka bingung nyalainnya gimana kok susah, susah juga buat nempel di telinga jatuh terus; 0; tech; -
Sebelah kiri ga  ada suara krek krek kaya jangkrek dalam kotak kotor tapi sebelah kanan bisa jalan bass nya kerasa bagus; 0; tech; -
ancur lebur, JBL, begitu dipasang, langsung quancunghe gitu ,bukan bahasa inggris yg biasanya,bluetooth connected tapi cisngchungchei, yg saya pesan warna itam yg datang putih. udah gitu gak nyambung kiri dan kanan, jelek bangat yg idup cuman kanan doang, gak tau barang apa nih, langsung dibuan udah; 0; tech; -
Kecawa banget suaranya krek2 pas di pakek . Kenapa gk di cobak dulu kondisi bagus apa gk . Masak barang kayak gini di jual . Kecewa banget; 0; tech; -
Baru pemakaian tiga hari. Kondisi barang ketika di nyalakan dan dipakai langsung mati sendiri. Padahal sudah di charger full. Chat sama tokonya gak dibalas, sampai masa garansi habis. Gmana ini bos?; 0; tech; -
Ini kalo beli dari penjualnya kayaknya hoki”an kalo beli produk, ak udh beli 2 earbud, yang satu bagus tpi yang kedua cacat, di chat” gk dibalas secepatnya seperti saat membeli produk pertama. Tolong diperiksa juga dong kualitas produk sebelum dikirim.; 0; tech; -
Nyari2 hedset blutut yg bagus ga ketemu2 dan akhirnya aku beli produk ini barangnya bagus banget, bassnya kerasa ampe kuping budek, enak buat motoran ga takut kebelit kabel, klo kuping kecil mungkin agak sering copot sm kelamaan sakit kayak aku. Tp good!!; 1; tech; -
Ga bisa berfungsi, lampu merah nyala terus padahal udah di cabut chargerannya, dan mau tekan off ga bisa. Barang blom di pake sama sekali, padhaal ada tulisan pengembalian 7 hari. Salah saya karna udah klik di terima sebelum di coba, karna ga pernah kejadian seperti ini . Chat ke penjual percuma; 0; tech; -
Suaranya emang bagus, cuman tiap mau daftar garansi kok gagal karna SN ga terdaftar. Tanya lewat chat tdk bs menyelesaikan masalah dan gbs ksh liat keaslian produk nya yg KATANYA original. Ini jual produk palsu apa gmn ya?; 0; tech; -
Sejak datang produknya bermasalah, lampu merahnya ga bisa mati. Sudah dicari cara di YouTube, akhirnya bisa mati lampu merahnya. Setelah itu dinyalakan jbl nya, nyalakan Bluetooth nya tp pas di Pairing ga muncul namanya sama sekali di HP padahal lampunya udah kelap kelip biru cepet (pairing).; 0; tech; -
Broduk cacat asu jangan beli di isi bilangnya ori baru di gunain berapa hari aja rusak, batre habis pas di charger malah nyala merah terus ga mati" Di nyalain ga bisa asu pokoknya ganti. Pokoknya yang lain jangan beli produk ini jangan sampe kaya saya beli mahal" Kualitas acur barang murahan asu; 0; tech; -
Pengiriman lelet banget smpe 6 hari Jkt-Bali.. Batreinya gk awet,, udah di cas smpe 5 jam,, masa baru pake sekitar dua jam udah mati.. Kalau di chat sama sellernya,, percuma,, tuh manusia robot jd jgn harap nyambung.. Untuk produk ini seharga 799 rb?? GAK RECOMMENDED 👎🏻; 0; tech; -
Kualitas bagus,tp jd ragu..ini asli apa bukan. Soalnya cable charge nya begitu...skrg kan banyak tub kloning 1:1..biar photo yg berbicara Dan td abs ke mall,liat langsung  Eng ing eng .. Ini fix PALSU...MAAF SAYA RUBAH bintang dan tambahkan lagi review jujur ny; 0; tech; -
Alhamdulillah barang sampai dengan baik, sesuai harapan, warranty juga sukses didaftarin, saya nyari lebih ke suara vokal nya jelas buat belajar daring anak Alhamdulillah mendukung and good job JBL and kalo mau beli produk JBL sy sarankan datang toko resmi... maturnuwun seller....; 1; tech; -
Pertama pengirimannya cepet dan sesuai yg diminta. Kedua suara nya bagus vokal jelas dan jelas untuk di dalam ruangan, tapi kurangnya bass kurang nampol. Batrai juga lumayan awet juga; 1; tech; -
Lumayanlah untuk harga segini. Beda sedikit dengan yg saya beli langsung di toko, meskipun bagusan yg aku beli di toko. But ini bagus banget untuk harga segini Di tunggu diskon diskon nyaaaaaaa; 1; tech; -
Mantab hasil buruan sale nih. JBL Go cocok untuk musik yang vocal, jazz, akustik. Kalau untuk musik trance, hiphop, beat up gitu suaranya biasa saja. Bass nya tidak terasa. Paling maksimalkan pada settingan audio device anda; 1; tech; -
Barang bagus keren sesuai dengan gambar dan di jamin original JBL. Yuk Temen-temen beli barang ORI dan tinggalin barang kw, karena ori di jamin gak bikin kecewa malah yang ada awet sepanjang masa😂; 1; tech; -
Puas dg kualitas suaranya 👍👍👍😍 Sellernya jg ramah dan cepat bls chatnya. Pekingannya jg oke, lengkap sesuai pesanan. Hanya pengirimannya yg agak lama, masalah di ekspedisi sepertinya..; 1; tech; -
Terimakasih admin" yg ngerespon chat nyaa & gercep ngirim pesanannya.. Sudah sampai dn tidak mengecewakan, lengkap semua. Trims soft case & sudh terpasang juga gorilla glass nya, jd ga perlu beli terpisah 😍😍😍; 1; tech; -
Kualitas original pastinya garansi resmi, harga murah, warna hp nya jg kekinian, kecepatan pengirimannya lebih cepat dari estimasi pdhal diketerangan PO. Smoga ini lebih awet dari hp sblmnya yang sampai 4 thn msh bs dipakai, terimakasih xiaomi; 1; tech; -
Selalu suka klo belanja di official resminya Barangnya bagus Masih segel  Di jamin mutunya Dtng nya cepet Maaf ftonya beda karena langsung di pakai barangnya Tq u redmi official Tq u shopee; 1; tech; -
Beli tgl 26 pas masih ada tulisan PO 14 hari, tp untungnya tgl 30 udah dikirim dan tgl 31 sudah saya terima. Sekarang pemakaian sudah 7 hari Alhamdulillah lancar. Cuma dlm box tdk ada kartu garansi tp katanya bisa pakai invoice pembelian. Semoga awet. Terimakasih!; 1; tech; -
Wow cepat bgtttt sampainya 😍😍 gak sampe 3 hari udah mendarat di tangan! Alhamdulillah kondisi barangnya oke, kardusnya dimasukin ke kardus lg dan gak ada penyok2 sama sekali. Item yg ada di kardus jg lengkap, charger & kabelnya berfungsi dgn baik. Ada kartu garansi jg. Mantaaaap 👍🏻👍🏻👍🏻; 1; tech; -
Semuanya lengkap, bagus dan gada cacat sama sekali. Uda dicoba dan langsung dipake sensor segala macem bagus, performa juga 👍👍👍 jempol bgtt Zuzur ini pertama kalinya beli hp onlen dan ga worry karena langsung di Xiaomi.official. murah terpercaya dan amaaaann; 1; tech; -
Pesen jumat siang sabtu siang udah sampe, baru sempet kasih penilaian karna tadi siang kerja hihi, keren bgt hpnya packing aman bgt gasempet foto banyak pokoknya sesuai spesifikasinya dan puas banget terimakasih banyak mudah2an hpnya awet; 1; tech; -
Pengiriman super cepat cuman 4 hari.. Barang udah diterima dan dalam keadaan baik.. No lecet.. Awalnya hp ndak bisa diaktifkan sihh.. Tp bisa diatasi koq.. Bisa diaktifkan lagi dan berfungsi dengan baik.. Sudah 3 hari dipakai.. Tidak ada kendala.. Yang pesan juga puas.. Seneng dehhh..Thx💕💕👏👏; 1; tech; -
Kak makasih banyak, arrived safely. Jujur suka bgt sama produknya, ga ada nyesel yg ada seneng. Langsung unboxing dong😊 Terus pengemasannya juga aman banget. Produknya ga ada cacat sama sekali, free softcase lagi. Pengirimannya juga cepet, bahkan diluar ekspektasi. Intinya keren parah😍😍😍; 1; tech; -
Terimakasih pesanan sudah sampai dlm keadaan baik. Karena kehabisan yg ready jdi dpt produk yg pre order. Estimasi kedatangan cukup cepat cuma 6 hri. Packing ny lumayan, cuma waktu dateng kardus Shopee ny agak penyok, tpi dalemnya aman ko. Utk free simcard AXIS tdk ada, mungkin ga kebagian.; 1; tech; -
Mantul pesanan 3 hari sampai tujuan Packing penyok, tapi isi nya aman bagus Harga 1.949.000 utk varian 4/64GB Baterai besar 5000 mAh tahan seharian. Pengisian baterai butuh 3 jam. Hasil camera lumayan lah gk gonjreng2 amat..; 1; tech; -
Kualitas hp oke sudah langganan beli hp di toko ini dan hp selalu memuaskan. Lumayan dengan harga hp segitu buat di pakai anak anak belajar online. Saat ini belum ada masalah dan semoga saja aman aja; 1; tech; -
Handphone terbaik dikelasnya! Tetapi warna hijau sebenarnya tidak persis sama seperti di gambar, hijau kelihatan lebih tua dan contrast tinggi.  Kamera biasa, spec nya bagus dan kinerja cepat, layar bagus dan jernih bisa Netflix Full HD, berbahan plastic kokoh, baterai tahan lama aktif 5-6 jam.; 1; tech; -
Bubblewrapnya lebih tebal dari pengiriman flash sale pertama, kotak hpnya pas dengan kardus shopee, jadi lebih aman. Setelah pemakaian dua minggu, produknya alhamdulillah tidak ada kendala dan berfungsi dengan baik. Baterainya tahan lama, kamera bagus hanya saja autofokusnya kurang.; 1; tech; -
saat beli baru tau kalau produk po jadi harus nunggu lama masukan untuk shopee/seller jk produk PO mohon cantumkan detailnya dengan jelas dan mudah dibaca kualitas produk sangat baik tidak mengecewakan.. worth to buy sekali dengan harganya; 1; tech; -
Mantap.. keren.. suka. Barang Ori. Bagus semua nya. Packing juga mantap.. agak sentimen Sebelum hp nya datang. Takut ada bintik atau garis di layar. Ternyata sangat bagus...; 1; tech; -
Barang OK, masih disegel. Sampe dgn selamat & relatif cepat. Dikasih free soft case silicon jg...alhamdulillah. Beli di official shop memang tepat, krn harganya paling murah. PSejauh ini produk berfungsi dgn baik. Mudah2an selalu OK saat dipakai, krn dari dulu xiaomi HP yg bandel tapi harga miring.; 1; tech; -
Awalnya tkut nyampe sni knapa2 krn jarak ckup jauh dn penilaian pembeli2 sbelumnya ad yg bilang dus luar penyok dll, tp pas dteng alhamdulillah dusnya aman cuma bable wrapnya yg atas sama bawah gk dtutup (cukup rawan juga) tp dlmnya aman kok kondisinya baik semua😊 sukaknya lg dpt silikon bening😍😍; 1; tech; -
Pengiriman dan pengemasan cepat, pesan siang malamnya dikirim. Produk #GengJawara mantap, kamera jernih, suara ok. Layar lebar, yang paling canggih batrenya. Serasa bawa powerbank kapasitasnya. Harganya juga ciamik dengan spec semantap ini. Processor juga mantap dengan Helio G80. #Jawara #Redmi9; 1; tech; -
Akhirnya dapat juga. Beli buat anak. HP lama udah error. Aslinya ngincar yg hijau. Berhubung masih PSBB Penghematan Secara Besar2an,  tunda2 mlulu. Eh warna hijau habis,  biru ungu habis,  akhirnya sikat aja warna grey daripada kehabisan. So far so good packing rapi pengiriman cepat.  Sempurna.; 1; tech; -
Menurut saya ini hp entry level paling worth it buy dari semua merek hp, dengan harga ga nyampe 2 juta udh dapet fitur yg sebanyak ini, cocok dijadikan hp kedua, saran saya sih buat kalian yang mau beli hp ini jgn berekspetasi terlalu tinggi krn dapet hp dgan fitur dan harga segitu aja udh bersukur; 1; tech; -
Pengemasan cepat sampai 3 hari karena baru pertama beli hp online sempat deg2an ketika datang kardus luar penyok ternyata dalamnya g pa2 masih bagus tanpa penyok hp pun normal semoga awet sarannya packingnya lbh ditingkatkan lagi......; 1; tech; -
kualitas bagus harganya terjangkau produk original,baterainya cukup besar pokoknya gak nyesel deh beli xiaomi👍👍👍; 1; tech; -
