text; label; domain; star
It turns out that there is a smaller q no de that is indo ... is it really possible that the model is different ... usually it uses 8 on the ring finger ... this is 8 forcing. Which 9 is enough d ring finger😅👍; 1; acc; -
Not good, the letter came off; 0; acc; -
From December 8, 2019 to the present day, January 4, 2020 there are no items. 😂 Don't know How to want to be assessed dinilai; 0; acc; -
The earrings are cute, but unfortunately many of them bend the back so it can't be used 😭😭😭😭; 0; acc; -
uchul, the earrings are murce but good, don't send the wrong items (according to the order), they are cute, get more butt earrings, though, the Pokok is great! thankyou; 1; acc; -
Very funny realpict. Next order again, regret the pinnings cmn buy 1 huhuuu so cute I want it again :)) the earrings also hopefully won't be an item; 1; acc; -
Really good even though it took a long time but it's really worth it to buy at this price, I've got 6 pcs earrings that are super duper cute and suitable to use to go out everyday. Thx yeah; 1; acc; -
For a long time, only understandable. Nice earrings, friends ask. Hopefully can order again. Funny....; 1; acc; -
it's good, even though there are some that aren't straight, you can spare two supports as well; 1; acc; -
After checking the reconditioned goods, it is not as expected. The wifi can't. Though already using the best hotspot. Still can't connect. This is a bad stuff.; 0; tech; -
Goods according to the description, the seller is also responsible ... there is a cable that is less replaced Hopefully durable goods ... hopefully the warranty is not used alias safe goods; 1; tech; -
just opened dos ,,, and operated for a while ,, not yet after a day the cellphone error can't be turned on; 0; tech; -
I don't think that I will be fooled by this .. Starting to suspect that when I use it for 2 days, how come it's already slow .. Then how come the name of the model on the cellphone isn't Redmi 9 but the model isn't clear .. I think it's because the RAM is really small .. Then I tried going to Tokopedia for trade-in .. When I checked the IMEI, it turned out that the model was not found; 0; tech; -
Not good, it should be improved again. Items received are not in good condition. I'm sick and can't return goods. I'm just alone. No one can ask for help Very disappointed with xiaomi. You are guilty of hurting orphans like me; 0; tech; -
The delivery is very "bad and does not recommend pdhl to the shopee express sameday and still the tangerang area, the period of 3 days doesn't send" smpe "you have to go to the shopee'y warehouse. Very disappointed it is better to go to the next stall not trivial". Make friends "who are brg 'y not sending "Tangerang area dtg to the iconic beautiful ambassador; 0; tech; -
jnt very bad delivery transit up to 4 days !!!! Please coordinate more in the future, the official shop is officially sending the package how long it takes. !!!!; 0; tech; -
A shopee mall class is also the official official, the packaging is bad, another shop 2 days, the goods are up to 2 days, still packed ..; 0; tech; -
Initially very happy there were no problems but only 3 days of use the gray color was already black screen (initially there was no sound, no picture) after that the sound was also lost and really couldn't turn on ... SO WAS DISAPPOINTED, even though it's been a long time waiting for a new cellphone; 0; tech; -
Xiaomi x ShopeXpress = 👎 Why are you only given the choice of a courier? There are no other options even though you often buy, you can do it other than that. Xiaomi Redmi 9 is okay, but when combined with a courier that is not okay. Customer satisfaction has fallen ...; 0; tech; -
The cellphone just until this afternoon now turns off suddenly even though the battery is still 87% why I chat there is no reply from the xiaomi official store. Please ask for your help what to do I am very disappointed.....; 0; tech; -
The cellphone is much different from the original one .. It is hoped that those who want to buy are better think about it first than later.; 0; tech; -
The item is smooth ... but it's a shame when I try it. The speaker has a problem ... there is a crackle sound; 0; tech; -
The item is in a defective condition, the account is locked when connected to wifi, the defective product is refurbished, it's been 2 weeks that the return has not been processed, if it's not processed as soon as possible just think to charity it, disappointed sm seller of this HP product; 0; tech; -
Battery Boros LCD Ghost Touch Emmc reconditioned (dead and serviced cellphone) Know that if emmc is not the original; 0; tech; -
Just like get scam when the new cellphone is locked, right?; 0; tech; -
Bli 6units ... 2 units are damaged ... 1 hit with signal ic, 1 ic lamp ... Once open inside ... the used ones have been hit by water ... Don't sell people's returns, boss ...; 0; tech; -
The cellphone was used for almost two weeks, last night i charge it and it can't turn on, I didn't want to, I don't know what cellphone was sold; 0; tech; -
The item arrived, after a week of using the cellphone I couldn't use the charger at all, after checking with the repairman he said that the cellphones were all in order, only the cases were new ... really disappointed 😠😠; 0; tech; -
asked if the new jwb is "new", the thing is that it's just reconstructed, can you play the word, the warranty seal can be stuck in the middle of the case so you don't see the original, loose battery, rusty conductor, it's not all the contents, in odd everything else, just a day's use just turns off !!!; 0; tech; -
Once check, the first one is good, the second is bad, chat about a return, bls ... it's time to buy fast bls ... the cellphone can't be used because the account can't enter the xiomi ,, the app is locked ... don't be stolen or how ,,; 0; tech; -
the bolt in there is not there 2. the screen is stuck. the seal is not there. please fix it ..... before sending make sure the goods are good.; 0; tech; -
The cellphone signal lost then the goods returned, but he said, he still didn't receive it. Even though the receipt was sent and until Thursday kmaren. Pdhl need a cellphone for school nephews.; 0; tech; -
Be careful to buy item here, the seller has no responsibility, i buy 5, 3 was damaged auto bankrupt; 0; tech; -
Love star bai1 first defective micro sd slot does not work, but the seller's response is very good and wants to be replaced with new items. LG is still in the process of returning. Hopefully the goods will be back soon. Later, when you arrive a new one without minus change it to a 5 star. Because the seller's response is very good; 1; tech; -
So far the cellphone is good. Good signal, good wifi, good Bluetooth, good camera. Charging is quite fast but there is 1 that is still lacking. The battery runs out quickly and sometimes the cellphone likes to heat up. Bang ... I checked that the microphone didn't work. How are you? Thanks; 0; tech; -
Goods do not match the order, ask for returns instead waiting for the decision of the shop and the shop is more in favor of the shop not the buyer, evidence already exists but the buyer is wrong, the price is not disappointed but not according to the order f*ck; 0; acc; -
It's not quite right for the redmi 8a pro flashlight it is closed, but it still works because the back is clear. The design is cool, it arrives very fast too; 1; acc; -
The price is murmer but not cheap, my husband likes it just a pity, the one I choose the wrong variety is really good even though it's good; 1; acc; -
The item has arrived, the ingredients are also good, the delivery is also fast. It's a shame for the dark green case there is a white appearance, it's been cleaned but it's still there. But never mind, thanks ...; 1; acc; -
Really thick and not lethargic, guys, don't regret buying. Next, I want to buy again for other variations. Hope fast restock for the clear variant, really want it but it's finished 😭; 1; acc; -
It was beyond expectations, I thought I would get the bad one because I saw it in other shops, ehh it turns out that it is really good, really precise again, even though I ordered a matte black one but, because I finished choosing a light green matte one. This is really recommended, goodjob seller🤙🏻; 1; acc; -
Good case, fast delivery, its just that in the shoope notification there is no information if the case has been sent but it doesn't matter, the important thing is the case is thick, thank you; 1; acc; -
This is how the word wants to return the cellphone ... how come I bought the damaged cellphone ... how come there was no good intention, you were looking for a fortune, how come this is the way ... sorry I won't bought a cellphone here; 0; tech; -
After almost 1 month the cellphone screen went dead. Though normal use. Try asking the seller there is no answer.; 0; tech; -
Black message that arrived white. The sound next to macettt. Please fix it again so that the customer is not disappointed. There is a sound on the handset. Not recommended. Sorry; 0; tech; -
It only lasts a day and the delay is really long. And the price is expensive in other shops, only 60K; 0; tech; -
Items do not last, likes to disconnect themselves and foreign languages continue to appear, the battery is not clear, it is at 100% status but likes to die alone.; 0; tech; -
Like to live and die alone even though you don't squeeze at all; 0; tech; -
VERY BAD PRODUCT QUALITY. BOTH THERE WERE A CRUSHING VOTE. ONCE JUST BUY THE PRODUCT HERE. SELLER RESPONSE IS ALSO VERY LONG. IT IS NOT RECOMMENDED.; 0; tech; -
The goods have arrived But the goods or what is not good ... If both of them are activated, sometimes only one side is heard and the other one dies. Sometimes the music turns off by itself is not clear. Service is also not good enough; 0; tech; -
Really regret I bought this handset. Already the left side is less responsive, the battery is bad. His voice was kind of rising. Charging until it is full when you eat it for a while, 20% is left immediately. It's a waste of money if I buy this hendset. Kind of ascending. For others Loss if purchased.; 0; tech; -
The used products are damaged but still sold, if the used goods are second give it in the description,; 0; tech; -
The sound of the right and left is not the same, I like to be confused about how to turn it on, how come it's hard, it's also hard to stick it in the ear to keep falling; 0; tech; -
There was no sound on the left, like cricket crack in a dirty box, but on the right it can run the bass feels good; 0; tech; -
It goes melted down, JBL, once it was installed, it was immediately quancunghe, not the usual English language, bluetooth connected but cisngchungchei, I ordered the black color that came in white. already like that, it doesn't connect left and right, it is really ugly that only the right one is alive, I don't know what item is it, it's ready to go straight away; 0; tech; -
I'm really surprised that the sound is really cracking when I use it. Why don't you try it first, what's the good condition or not. Why items like this are for sale. I am very disappointed; 0; tech; -
Just used three days. The condition of the item when it is turned on and used immediately turns off itself. Even though it's already in full charger. Chat with the shop is not answered, until the warranty period is up. How is this boss?; 0; tech; -
If you buy from the seller, it seems lucky. "When buying a product, I bought 2 earbuds, one is good but the second is defective, in the chat," I didn't reply as quickly as I bought the previous product. Please also check the quality of the product before sending.; 0; tech; -
I didnt find a good blutut hedset and finally I bought this product, the item is really good, the bass feels like a deaf ear, good for motorbikes, not afraid of getting tangled with wires, if my ears are small, maybe a bit often dislodged but it hurts like me. But good !!; 1; tech; -
It can't work, the red light continues even though I have unplugged the charger, and I can't press off. The item has not been used at all, even though it says 7 days return. It was my fault because the click was accepted before trying, because it never happened like this. Chat to the seller is useless; 0; tech; -
The sound is really good, but every time I want to register the warranty, how come it fails because SN is not registered. Even asking via chat can't solve the problem and I can't see the authenticity of the product which is original. How dare you sell the fake product?; 0; tech; -
Since the product has had a problem, the red light can't be turned off. I've been looking for a way on YouTube, finally the red light can go out. After that, turn on the jbl, turn on the Bluetooth, but when pairing, the name doesn't appear at all on the cellphone even though the light is flashing blue blinking fast (pairing).; 0; tech; -
Defective products do not buy in the contents, say the original ori is only used for how many days it breaks, the battery runs out right in the charger instead it turns red and doesn't turn off "On the turn it can't just replace it. Anyway, don't buy this product, don't buy it like I buy expensive "The quality of pickled cheap stuff; 0; tech; -
The delivery was really slow for 6 days Jkt-Bali ... The battery doesn't last, it's been charged for 5 hours, it's just been used for about two hours, it's already dead ... If you chat with the seller ... it's useless ... it's a human robot so don't hope connected .. For this product for 799 rb ?? NOT RECOMMENDED 👎🏻; 0; tech; -
Good quality, but doubt ... this is genuine or not. The problem is that the cable charge is so ... now there are a lot of 1: 1 cloning tubs ... let the photo talk And not abs to the mall, see directly Eng ing ... This is a FAKE fix ... SORRY I CHANGE stars and add more honest reviews ny; 0; tech; -
Alhamdulillah, the goods arrived well, as expected, the warranty has also been successfully registered, I am looking for more clear vocal voices for online learning for children. ..; 1; tech; -
First, the delivery was fast and as requested. Both voices are good, vocals are clear and clear for indoors, but the lack of bass is lacking in volume. Batrai is also quite durable too; 1; tech; -
Not bad for this price. It's a little different from what I bought directly at the store, even though it was good that I bought at the store. But this is really good for a price like this. Waiting for the discount, the discount is pooooo; 1; tech; -
The results of the sale are good. JBL Go is suitable for vocal, jazz, acoustic music. For trance music, hip hop, beat up, the sound is normal. Bass is not felt. Most maximize your audio device settings; 1; tech; -
Cool good stuff according to the picture and guaranteed to be JBL original. Come on, my friends buy ORI items and leave your items, because the guaranteed ori won't make you disappointed, instead those that last all the time😂; 1; tech; -
Satisfied with the sound quality 👍👍👍😍 The seller is also friendly and fast, please chat. The dish is okay too, complete according to order. Only the delivery took a little longer, the problem on the expedition seems to be ...; 1; tech; -
Thank you admin "who responded to the chat and quickly sent the order .. It arrived and did not disappoint, everything was complete. Thanks for the soft case & the gorilla glass has been installed, so no need to buy separately 😍😍😍; 1; tech; -
Original quality is definitely an official guarantee, low prices, the color of the cellphone is also up to date, the delivery speed is faster than the estimation in the PO. Hopefully this lasts longer than the previous cellphone which is up to 4 years old still can be used, thank you xiaomi; 1; tech; -
Always like it when shopping at the official official The stuff is good Still the seal Guaranteed the quality is fast, Sorry the news is different because the item is immediately used Tq u redmi official Tq u shopee; 1; tech; -
Buy on the 26th when it says PO 14 days, but fortunately the 30th has been sent and I have received the 31st. Now it's been 7 days of usage, Alhamdulillah, it's smooth. Only in the box there is no guarantee card but it says you can use a purchase invoice. Hope it lasts. Thank you!; 1; tech; -
Wow, it arrived so fast 😍😍 not until 3 days it landed in the hand! Alhamdulillah, the condition of the goods is okay, the cardboard is put in another box and there are no dents at all. The items in the box are also complete, the charger and cable are functioning properly. There is also a warranty card. Mantaaaap 👍🏻👍🏻👍🏻; 1; tech; -
Everything is complete, nice and completely flawed mace. You try and immediately use all kinds of good sensors, performance is also good. Thumbs up, this Zuzur is the first time to buy an online cellphone and don't worry because it is directly on Xiaomi.official. cheap, reliable and safe; 1; tech; -
Ordered Friday afternoon Saturday afternoon arrived, I just gave an assessment because this afternoon was working hihi, so cool, the cellphone packing is safe, I get lots of photos, basically according to the specifications and really satisfied, thank you very much, hopefully the cellphone lasts; 1; tech; -
Super fast delivery for only 4 days .. Goods have been received and in good condition .. No scuffed .. Initially the cellphone couldn't be activated anyway .. But it can be resolved .. Can be activated again and function properly .. It's been 3 days in use .. There are no obstacles .. Those who ordered are also satisfied .. I am happy .. Thanks; 1; tech; -
Sis, thanks a lot, arrived safely. Honestly, I really like the product, no regrets that I am happy with. Immediately unboxing please😊 Then the packaging is also very safe. The product has no defects at all, free softcase again. The delivery was fast, even beyond expectations. The point is really cool😍😍😍; 1; tech; -
Thank you, the order has arrived in good condition. Because they ran out of ready ones, I got pre-ordered products. The estimated arrival is quite fast, only 6 days. The packing is ok, only when I arrive the Shopee box is a bit dented, but the inside is safe. There is no free AXIS simcard, maybe you won't get it.; 1; tech; -
Good order 3 days until destination Packing dent, but the contents are safe, good Price 1,949,000 for the 4 / 64GB variant Big 5000 mAh battery lasts all day. Charging the battery takes 3 hours. The results of the camera are not bad, they are not really good ...; 1; tech; -
The quality of the cellphone is okay, I have subscribed to buy a cellphone at this store and the cellphone is always satisfying. Not bad for the price of a cellphone that much for children to use online learning. Currently there are no problems and hopefully it's safe; 1; tech; -
Best mobile in its class! But the green color is actually not exactly the same as in the picture, green looks darker and has high contrast. Ordinary camera, good specs and fast performance, nice and clear screen with Full HD Netflix, sturdy plastic material, 5-6 hours active battery life.; 1; tech; -
The bubblewrap is thicker than the first flash sale, the cellphone box fits the shopee cardboard, so it's safer. After two weeks of use, the product, thank God, has no problems and is functioning properly. The battery is durable, the camera is good, it's just lacking autofocus.; 1; tech; -
When you buy, you just know that the product is ready, you have to wait a long time for input to the shopee / seller, if the product is PO, please include the details clearly and it is easy to read that the quality of the product is very good does not disappoint ... worth to buy once at the price; 1; tech; -
Great .. cool .. like it. Ori goods. All good. Packing is great too ... a bit of a sentiment before the cellphone arrives. Fear that there will be spots or lines on the screen. It turned out really good ...; 1; tech; -
Item OK, still sealed. Arrived safely & relatively quickly. Also given a free soft silicon case ... thank God. Buying at the official shop is right, because the price is the cheapest. PS So far the product is functioning well. Hopefully it's always OK when used, because from the first xiaomi cellphones are stubborn but low prices.; 1; tech; -
Initially, when it arrived, why was it because the distance was far from the previous buyers' assessment, there were those who said the box outside was dented etc, but when it came to God, the box was safe, only the top and bottom wrap was not closed (quite vulnerable too) but inside it was safe, how come all the conditions were good😊 Can you get clear silicone😍😍; 1; tech; -
Fast delivery and packaging, the messages day and night are delivered. #GengJawara product is great, camera is clear, sound is ok. Wide screen, the most sophisticated battery. Feel like carrying the powerbank capacity. The price is also good with this great spec. The processor is also great with the Helio G80. # Champion # Redmi9; 1; tech; -
Finally, too. Buy for children. The old cellphone has an error. Originally after the green one. Since PSBB is still saving on a large scale, delay it. Uh, the green color runs out, blue purple runs out, finally just brush the gray color instead of running out. So far, so good, neat packing, fast delivery. Perfect.; 1; tech; -
In my opinion, this entry level cellphone is the most worth it to buy from all cellphone brands, at a price of not reaching 2 million, I have got this many features, suitable for being a second cellphone, my advice is for those of you who want to buy this cellphone don't expect too high because you get a cellphone with that much features and price, thank you; 1; tech; -
Fast packaging takes up to 3 days because it was the first time I bought a cellphone online, I was nervous when the outer cardboard dents came, it turned out that the inside was still good without dents the cellphone was normal, hopefully it will last, the advice is to improve the packing again ...; 1; tech; -
good quality, affordable price, original product, the battery is big enough, just don't regret buying xiaomi👍👍👍; 1; tech; -
Very cool cellphone, good camera, elegant appearance and super hight class, very soft touch and Royal class .. !! Manteeeb; 1; tech; -
The cellphone arrived as ordered and landed safely. The cellphone is cool. Buy a cellphone for a wife's gift. Let me be more loved. And my wife really likes My wife is getting more sticky Xiaomi Redmi 9 is really cool. Makish xiaomi official store & shopee; 1; tech; -
This cellphone camera is like this guy ..... The video that was recorded looks like this guyyy You can see for yourself Deeee Not disappointed deee guyyy you buy a cellphone like this cheap again; 1; tech; -
Thank you Xiaomi. Fast & safe packing with bubble wrap. Check all functions are good, very worth it at a price of less than 2 million, I can provide facilities for the needs of my children at school. Delivery also bounces only 24 hours. Only 1 lack of headset in this x bundling.; 1; tech; -
Alhmdlh, the cellphone has been received with good information. Packing is safe because thanks again the cardboard box, thanks still seal. Launched Dishopee, product br. 16 July 20, for my gift, I am very happy to be my brother.; 1; tech; -
Sorry, I just got a review. Was going to find redmi note 8 but soldout. Look at xiaomi again lauching this cellphone just buy it right away, it's a mate. Goods received in good condition and safe. I've all tested the cellphone smoothly. Play heavy games PUBG, PES, NFS, Freefire, DLS, smoothly. The battery is really durable ...; 1; tech; -
Good gridwall, thick wire, safe packing pk bubble wrap, other plants and lamps, packing separately, pk bubble wrap too. And complete orders. Thanks :); 1; acc; -
arrived quickly, complete items, no damage, safe and secure 👍🏻 the battery doesn't include it, guys; 1; acc; -
It turns out that we use a battery, not plug it in, then Lampung only has 10 seeds so the lights are short. But yes the mayan hasn't been tried on or not. But it's fine thanks; 1; acc; -
The delivery was really fast, checked out yesterday afternoon, the evening was sent but now it's all over. Good stuff, nothing defective. Only the plastic lamp packaging is a little torn. Overall good, the lights are all on and bright. Thx; 1; acc; -
The product is very good, lights up perfectly just the lid to put the battery is easy to fragile and when I opened it it broke immediately😂 but according to order and arrived quickly; 1; acc; -
It turns out that I use a battery, I think I plug in the electricity ... but I don't think I like using a battery more ... it's good, thank you so much🙏🏻🙏🏻; 1; acc; -
I like it, now my room is starting to be a little bit aesthetic guys when I don't turn on the lights anymore because there is a diaa, the main thing is good, my room is also more helpfulllll; 1; acc; -
really good, like it really fast until it was just yesterday, the message was straight tomorrow until I really liked the lights on, everyone, I liked it; 1; acc; -
Likeaaaaa bangeeeetttt the lightsaaaaa ... the looks are pretty sturdy too, not the colorful ones, the cables look strong too.; 1; acc; -
Alhamdulillah it arrived .. thank you sis 🙏 the lights are so cute automatically there are clamps for photos .. ❤️❤️ like it 😍😍 I recommend it for the decoration ..; 1; acc; -
The delivery is fast, the product is suitable, the lights are off but can still be repaired Thank you; 1; acc; -
i haven't had time to try it on. but thank God the items arrived safely and the club broke ... hopefully they are durable and useful; 1; acc; -
Alhamdulillah, the order arrived safely, it was really good, you could make a decorative decoration too, beautify the room, the packaging is quite long, but it's okay .... Thank God, Jazakillahu khairan ...; 1; acc; -
I really liked the product, I thought you had to plug in the electricity, but it only needed to use a battery to turn it on. As simple as thatooooo. Practical. The packaging is neat and safe. The items arrived safely all the lights; 1; acc; -
The bag is very good, there are no defects, the round lights are on and on, the pouch is also good, the decoration lights are also on well; 1; acc; -
The light hasn't been opened until now, hopefully when I open it and turn on the light there is no short circuit at all; 0; acc; -
I've tried the lights are all on, good, but it doesn't flicker, I can be squeezed "blinking" like a tumbler lamp; 1; acc; -
The product quality is very good. Lights can function properly. There are clamps so you can wear them to attach photos. Like very much like; 1; acc; -
missunderstand, I think using electricity. uh use a battery. but goods is good 😎; 1; acc; -
The item is pretty good, but the size is too small but thank you 🙏; 1; acc; -
Because the PO has to wait 2 weeks until the house arrives ... The stuff is good, lights up well, there is only 1 clip that is slightly sliding ... But it can still be fixed ...; 1; acc; -
Thank you, fast and safe delivery (already wrapped in bubble wrap), but I'm the one who's not careful, it turns out that the battery is not the one that connects to the socket .. But it's good, it's actually portable, good surprise!; 1; acc; -
* The on-off button is broken .. * The plate for the battery rock is rusted ... almost off ... * When the battery is filled, it is very difficult to enter it ... so it must be forced; 0; acc; -
buy 2 problem connectors, all new, they want to be installed blinking for a long time, they don't work out, it's only been a day; 0; acc; -
When the copper tip is installed, it's really fragile so it looks like it's broken and doesn't connect the electricity ... can it be serviced or exchanged ??? So I don't use it because both sides have the same disease ...; 0; acc; -
Want to give 5 stars because it's cool, but it can only turn on overnight. In the morning it dies and if you want to turn it on, you have to hold the connector. Returning the shophouse ware house has taken a long time, they haven't turned on (but don't provide video / photo proof), then they send it back to the house but it doesn't turn on at all; 0; acc; -
1. Good stuff, but there is no manual book for installing LEDs, especially for pairing to the application 2. The connector on one side is not working (the other side is safe), I don't want to replace the goods because I have to pay back & take care of it "to the delivery service 3. double sided tape is not sticky 4. But when the LED lights up is good.; 1; acc; -
Deli products 👍 but the human resources are not professional. And wrong delivery of orders, a refund has been submitted (indeed the nominal is not that much but if counted there have been many complaints from buyers that are in line & there are no replies from the seller), replied for a long time & there is no continuation While ⭐1 first arrived response; 0; acc; -
GOODS SENT COMPLETE GA, THERE ARE 2 ITEMS THAT WERE SENT. COMPLEMENTS GA RESPONDED TO. CHAT CS SHOPEE IS ALSO NGEBANTU. DELIVERY IS ALSO LONG. ALMOST 1 MONTH SINCE PAY IS SENT. GA SHOPPING AGAIN DSINI. KAPOK !! PADAHAL SHOPEE MALL, BAD TP SERVICE !! GA WILL BE BLESSING THE DUIT !!; 0; acc; -
the product is not authentic, it's better expensive with good quality than the listed discount but the goods are not good, non recommendation !!; 0; acc; -
the product is good. it's just a small necklace for kindergarten children 👎; 0; acc; -
I want to ask why the toy necklace turned black or faded? It should still be gold because there is a layer of gold. Is the necklace sent to me fake? Meanwhile, my husband's necklace has been almost 3 months old and still has a good color and doesn't even fade. I am waiting for his good intentions to respond; 0; acc; -
Mine, how come when it was demonstrated like at Mnc using Betadine, the water didn't change at all, please confirm, I was shopping at the Shoope just now, I gave this low star, disappointed to me, especially this is Shoope Mall, if I want to use it it doesn't matter but this is what want to use my mother :( please; 0; acc; -
The packaging is not really good, it only uses transparent plastic, it looks like it looks, like buying stuff that is messy, right? I'm worried, sorry, next time please pay attention because this is the first time I shop online for the packaging not really.; 0; acc; -
At first I was sure that this necklace was real, and I didn't doubt it was ori ... after 3 days later I wanted to test the necklace I bought with betadine water. I saw that the original TV commercial immediately turned clear ...; 0; acc; -
The item has been received, original or fake is still a question mark, if the tester uses Betadin drops, it turns out that you don't need to use the Al Attar necklace, too, even ordinary coral water turns white, it can't be a guideline like the one on TV.; 0; acc; -
How do you take it off, then send it for a long time. The one in the short chain again; 0; acc; -
